,districtId,eng_name,zh_name,searchKey
0,1999,Hong Kong Island,香港島,districtId=1999
1,2999,Kowloon,九龍,districtId=2999
2,3999,New Territories,新界,districtId=3999
3,4999,Outlying Islands,離島,districtId=4999
4,1008,Western District,西環,districtId=1008
5,-35243,Shek Tong Tsui,石塘咀,districtId=-35243
6,-35244,Sai Ying Pun,西營盤,districtId=-35244
7,-35242,Kennedy Town,堅尼地城,districtId=-35242
8,1001,Sheung Wan,上環,districtId=1001
9,1003,Central,中環,districtId=1003
10,-9006,Soho,蘇豪,districtId=-9006
11,-9007,Lan Kwai Fong,蘭桂坊,districtId=-9007
12,1005,Mid-Levels,半山,districtId=1005
13,1002,The Peak,山頂,districtId=1002
14,1011,Admiralty,金鐘,districtId=1011
15,1022,Wan Chai,灣仔,districtId=1022
16,1017,Happy Valley,跑馬地,districtId=1017
17,1019,Causeway Bay,銅鑼灣,districtId=1019
18,1025,Tai Hang,大坑,districtId=1025
19,1026,Tin Hau,天后,districtId=1026
20,1004,North Point,北角,districtId=1004
21,1014,Quarry Bay,鰂魚涌,districtId=1014
22,1023,Tai Koo,太古,districtId=1023
23,1009,Sai Wan Ho,西灣河,districtId=1009
24,1018,Shau Kei Wan,筲箕灣,districtId=1018
25,1024,Heng Fa Chuen,杏花邨,districtId=1024
26,1013,Chai Wan,柴灣,districtId=1013
27,1021,Pok Fu Lam,薄扶林,districtId=1021
28,-9151,Cyberport,數碼港,districtId=-9151
29,1012,Aberdeen,香港仔,districtId=1012
30,1020,Ap Lei Chau,鴨脷洲,districtId=1020
31,1016,Deep Water Bay,深水灣,districtId=1016
32,1027,Wong Chuk Hang,黃竹坑,districtId=1027
33,1015,Repulse Bay,淺水灣,districtId=1015
34,1007,Shek O,石澳,districtId=1007
35,1010,Stanley,赤柱,districtId=1010
36,2031,Mei Foo,美孚,districtId=2031
37,2016,Lai Chi Kok,荔枝角,districtId=2016
38,2013,Cheung Sha Wan,長沙灣,districtId=2013
39,2019,Sham Shui Po,深水埗,districtId=2019
40,2029,Prince Edward,太子,districtId=2029
41,2010,Mong Kok,旺角,districtId=2010
42,2005,Tai Kok Tsui,大角咀,districtId=2005
43,2011,Yau Ma Tei,油麻地,districtId=2011
44,2028,Jordan,佐敦,districtId=2028
45,2008,Tsim Sha Tsui,尖沙咀,districtId=2008
46,-9008,Knutsford Terrace,諾士佛臺,districtId=-9008
47,2015,Hung Hom,紅磡,districtId=2015
48,2009,Ho Man Tin,何文田,districtId=2009
49,2004,To Kwa Wan,土瓜灣,districtId=2004
50,2007,Shek Kip Mei,石硤尾,districtId=2007
51,2002,Kowloon Tong,九龍塘,districtId=2002
52,2001,Kowloon City,九龍城,districtId=2001
53,2030,Lok Fu,樂富,districtId=2030
54,2020,Wong Tai Sin,黃大仙,districtId=2020
55,2022,San Po Kong,新蒲崗,districtId=2022
56,2027,Diamond Hill,鑽石山,districtId=2027
57,2021,Tsz Wan Shan,慈雲山,districtId=2021
58,2032,Choi Hung,彩虹,districtId=2032
59,2003,Kowloon Bay,九龍灣,districtId=2003
60,2006,Ngau Tau Kok,牛頭角,districtId=2006
61,2026,Kwun Tong,觀塘,districtId=2026
62,2024,Lam Tin,藍田,districtId=2024
63,2012,Yau Tong,油塘,districtId=2012
64,2025,Lei Yue Mun,鯉魚門,districtId=2025
65,3012,Tai Wai,大圍,districtId=3012
66,3007,Sha Tin,沙田,districtId=3007
67,3013,Fo Tan,火炭,districtId=3013
68,3009,Ma On Shan,馬鞍山,districtId=3009
69,3002,Tai Po,大埔,districtId=3002
70,3014,Tai Wo,太和,districtId=3014
71,3008,Fanling,粉嶺,districtId=3008
72,3001,Sheung Shui,上水,districtId=3001
73,3011,Lo Wu,羅湖,districtId=3011
74,3021,Lok Ma Chau,落馬洲,districtId=3021
75,3015,Kwai Fong,葵芳,districtId=3015
76,3019,Kwai Chung,葵涌,districtId=3019
77,3018,Tsuen Wan,荃灣,districtId=3018
78,3017,Tsing Yi,青衣,districtId=3017
79,3022,Ma Wan,馬灣,districtId=3022
80,3010,Sham Tseng,深井,districtId=3010
81,3005,Tuen Mun,屯門,districtId=3005
82,3003,Yuen Long,元朗,districtId=3003
83,3004,Tin Shui Wai,天水圍,districtId=3004
84,3016,Lau Fau shan,流浮山,districtId=3016
85,3006,Sai Kung,西貢,districtId=3006
86,3020,Tseung Kwan O,將軍澳,districtId=3020
87,-35260,Po Lam,寶琳,districtId=-35260
88,-35276,O’South Coast,澳南海岸,districtId=-35276
89,-35259,Hang Hau,坑口,districtId=-35259
90,4006,Discovery Bay,愉景灣,districtId=4006
91,4009,Tung Chung,東涌,districtId=4009
92,4002,Chek Lap Kok,赤鱲角,districtId=4002
93,4001,Lantau Island,大嶼山,districtId=4001
94,4010,Tai O,大澳,districtId=4010
95,4004,Cheung Chau,長洲,districtId=4004
96,4003,Peng Chau,坪洲,districtId=4003
97,4005,Lamma Island,南丫島,districtId=4005
98,4011,Po Toi Island,蒲苔島,districtId=4011
